序号,上线时间,版本号,类型,主要功能,负责人,备注,,,,,,,,,,,,,
300,04-23-2026,临时,临时发版,1. 【模型配置调整，急急如律令】Claude Opus 4.7 官方 prompt 配置 AB 实验，优化消息长度较短的问题；2. 【埋点调整，特批】新增模型质量 Prometheus 埋点：拒答率、续写触发、响应长度，免测,,,,,,,,,,,,,,,
299,04-22-2026,临时,临时发版,【配置调整，特批】；1. Rapyd - ApplePay 调整配置为全量；2. 购买畅聊包，Rapyd默认支付渠道放量30%；3. ~~订阅首购优惠，Rapyd默认支付渠道放量50%~~；【配置调整，特批】申请修改deluxe用户权限：自定义语音；1. 按照luxe用户配置：音色槽位数10；2. 用户权益说明因deluxe用户不展示，暂不配置,,,,,,,,,,,,,,,
297,04-21-2026,临时,临时发版,1. 【调整配置，特批】调整飞书报警配置，对低版本不下发Deluxe折扣商品；2. 【特批】带链接OC通知群，链接检测规则优化，降低误报；无需测试,,,,,,,,,,,,,,,
298,04-21-2026,临时,临时发版,1. 【p0 线上事故】Mochi V3 配置修改，优化 NSFW 拒绝率高问题；2. 【p0 线上事故】Gemini 3.1 Pro Continue 配置修改，优化 Continue 内容较短的问题,,,,,,,,,,,,,,,
296,04-20-2026,6.21.0,正式发版,99支付Refunded类型处理；Deluxe用户可优惠购买其他档位；Rapyd - GooglePay/ApplePay 支付优化；购买钻石接入Rapyd；支付埋點鏈路；支付渠道退款订单处理；首页creators tab UI优化；首页 UI 改版 AB 实验；Mochi V3价格调整；Mochi V3 问题优化；GLM 问题跟进 & 优化；Ultra GLM 5.1 配置上线；Deepseek V3.2 配置上线；Helios / lyra 模型配置调整 & 测试；聊天 component test；世界卡 demo；推荐模型弹窗优化；AI 回复去旁白测试；潜力榜取消一级榜单；运营后台新增潜力榜；新增潜力榜；新内容分级合规；性能優化 ，將重複上報的api剔除 v2；App下载入口放量功能；打包機，北京 mini 升级；代碼檢測，AI針對客戶端代碼做全面的正規化排查跟優化；埋點系統化，加统一约束；詳情彈窗載入套用局部骨架屏；性能優化，修復在聊天室登入後聊天室頁面閃爍；mopoga支持多人上传新游戏的需求,,,,,,,,,,,,,,,
294,04-17-2026,临时,临时发版,【运营临时需求】潜力创作者/OC banner轮播徐唯原,,,,,,,,,,,,,,,
295,04-17-2026,临时,临时发版,1. 【模型配置上线】Ultra Claude Opus 4.7 配置上线,,,,,,,,,,,,,,,
293,04-16-2026,临时,临时发版,【临时需求，特批】Rapyd-ApplePay 支付接入添加网站认证 徐唯原,,,,,,,,,,,,,,,
292,04-13-2026,临时,临时发版,【线上bug，P0】修复99支付渠道，订单失败但是下发商品的bug,,,,,,,,,,,,,,,
291,04-10-2026,临时,临时发版,1. 【运营临时需求】潜力创作者/OC banner轮播徐唯原；2. 【模型配置调整】Mochi 模型配置正式下线；3. 【模型配置调整】线上模型 fall back 白名单调整，缩小线上模型调用失败重试的范围，无需测试,,,,,,,,,,,,,,,
290,04-09-2026,临时,临时发版,"1. 【服务端配置调整，特批】支付渠道调整；a. 购买会员、购买消息，将已隐藏/下线的渠道排序置后；b. 购买钻石，将Payabl支付渠道由50-99开放至全量，调整Paypal渠道排序置后；c. 购买消息扩容，将Onlypay渠道排序置后；d. 购买畅聊包，默认支付渠道切20%给aw2观察成功率；e. 购买组合包，默认支付渠道切10%流量给Paypal2观察成功率；2. 【配置调整，特批】实验放量调整；a. 默认支付按钮文案实验，调整放量为：GetStarted 50%, Upgrade 25%, 原文案 25%；b. CA地区首购折扣优惠实验，调整放量为：CA地区实验组放量至50%；3. 【P0线上 bug，前端发版】修复用户设置推荐模型，影响了全局模型的问题",,,,,,,,,,,,,,,
